word,frequency
free,112
claim,89
prize,63
won,58
urgent,55
offer,53
cash,46
1000,36
cs,31
holiday,27
shows,26
account,26
10,25
contact,25
000,25
customer,25
draw,24
receive,24
awarded,23
selected,23
mins,21
5000,20
win,19
update,19
code,19
collection,19
link,19
16,18
150ppm,18
selected receive,18
number,18
today,17
click,16
valid,16
award,16
aadhaar,16
chance,15
camera,15
video,15
entry,15
2nd,15
2000,15
150,15
want,15
1000 cash,15
latest,14
loan,14
11,14
bank,14
bonus,14
800,13
easy,13
winner,13
talktime,13
immediately,13
statement,12
tried,12
prize claim,12
offers,12
otp,12
08000930705,12
customer service,12
points,11
gift,11
guaranteed,11
vouchers,11
free entry,11
camcorder,11
0800,11
account statement,10
price,10
double,10
double mins,10
rs,10
03,10
voucher,9
congratulations,9
help,9
message,9
350,9
