text,prediction,confidence,top_scam_words,active_clusters,n_clusters
customer loyalty offer the new nokia6650 mobile from only  10 at txtauction  txt word  start to no  ,Scam,0.7985,"offer, customer, start, 10","REWARD, AUTHORITY, OTHER",3
surely result will offer,Scam,0.7662,"offer, result, result offer, surely, surely result","REWARD, OTHER",2
you are chosen to receive a  350 award  pls call claim number 09066364311 to collect your award whic,Scam,0.8243,"award, claim, receive, selected, customer","OTHER, REWARD, AUTHORITY",3
height of confidence  all the aeronautics professors wer calld  amp  they wer askd 2 sit in an aerop,Scam,0.595,"wer, wont, start, bt",OTHER,1
private  your 2003 account statement for 07973788240 shows 800 un redeemed s  i  m  points  call 087,Scam,0.8813,"account, code, shows, 800, account statement","FINANCIAL, CREDENTIAL, OTHER",3
height of confidence  all the aeronautics professors wer calld  amp  they wer askd 2 sit in an aerop,Scam,0.595,"wer, wont, start, bt",OTHER,1
welcome to select  an o2 service with added benefits  you can now call our specially trained advisor,Scam,0.7314,"free, welcome, specially, o2","URGENCY, OTHER",2
welcome to uk mobile date this msg is free giving you free calling to 08719839835  future mgs billed,Scam,0.6721,"free, welcome","URGENCY, OTHER",2
this is the 2nd attempt to contract u  you have won this weeks top prize of either  1000 cash or  20,Scam,0.9064,"prize, won, cash, 1000, 2nd","REWARD, FINANCIAL, OTHER",3
urgent  your mobile number has been awarded with a  2000 prize guaranteed  call 09061790121 from lan,Scam,0.893,"urgent, claim, prize, awarded, valid","URGENCY, OTHER, REWARD, IDENTITY",4
had your mobile 11mths   update for free to oranges latest colour camera mobiles   unlimited weekend,Scam,0.7731,"free, camera, 11mths, latest","URGENCY, OTHER",2
i want snow  it s just freezing and windy,Scam,0.6458,"snow, snow just, want, just",OTHER,1
private  your 2003 account statement for 07973788240 shows 800 un redeemed s  i  m  points  call 087,Scam,0.8813,"account, code, shows, 800, account statement","FINANCIAL, CREDENTIAL, OTHER",3
original ek mukhi rudrax offer   just rs 1500   parad shivling maha yantra ado vdo cd navratna ring ,Scam,0.6619,"offer, gift, cd","REWARD, OTHER",2
if you don t  your prize will go to another customer  t c at www t c biz 18  150p min polo ltd suite,Scam,0.6935,"prize, customer, 18, prize customer","REWARD, AUTHORITY, OTHER",3
urgent ur  500 guaranteed award is still unclaimed  call 09066368327 now closingdate04 09 02 claimco,Scam,0.7389,"urgent, award, 02, guaranteed, 09","URGENCY, OTHER",2
had your mobile 11 months or more  u r entitled to update to the latest colour mobiles with camera f,Scam,0.8604,"free, 11, update, camera","URGENCY, OTHER",2
had your contract mobile 11 mnths  latest motorola  nokia etc  all free  double mins   text on orang,Scam,0.782,"free, mins, 11, double, double mins","URGENCY, OTHER",2
in a bar  a man attended a call  hello    yes honey  wife  darling  i m in shopping mall  shall i bu,Scam,0.5773,"wife, honey, dis",OTHER,1
double mins   double txt   1 2 price linerental on latest orange bluetooth mobiles  call mobileupd8 ,Scam,0.7787,"double, offers, latest, mins, double mins","OTHER, REWARD",2
call from 08702490080   tells u 2 call 09066358152 to claim  5000 prize  u have 2 enter all ur mobil,Scam,0.7191,"claim, prize, 5000, 5000 prize","OTHER, REWARD",2
